0.0167989731 -0.2460000068 -0.2300000042 0.1979999989 2.3367419243 0.4473360181 6.2254257202 0.545049499 1.1207410483 1.9326138567 -0.0521746286 -0.2178673113 0.251426355
0.0482959747 -0.5099999905 0.0979999974 -0.0179999992 2.642813921 0.0745560005 6.9395942688 0.546366261 1.1216045676 1.9368629485 -0.0644062554 -0.2167107751 0.2518611911
0.0933270454 -0.1679999977 -0.1879999936 0.2800000012 2.5996499062 -0.7023959756 7.634141922 0.5495273609 1.1223543247 1.9399370162 -0.0656947726 -0.2236329386 0.2648296583
0.138338089 0.5159999728 -0.0680000037 0.2840000093 2.3759820461 -1.1340359449 7.7361664772 0.5550597246 1.1219958254 1.9398654407 -0.0393136816 -0.2340273683 0.2751071597
0.1762421131 0.4040000141 -0.3840000033 -0.1599999964 2.2798440456 -0.3551220298 7.2240839005 0.5605949209 1.1219895941 1.9356358326 -0.0434569334 -0.2481118599 0.2681016833
0.213299036 -0.40200001 -0.2800000012 -0.0219999999 2.5584480762 0.1236060038 6.867000103 0.565577129 1.1225215427 1.9294557518 -0.0542112808 -0.2600013885 0.2665572206
0.2568531036 -0.074000001 -0.59799999 0.2039999962 2.668320179 -0.001962 6.227388382 0.5733522143 1.1237569282 1.9168593631 -0.0566893968 -0.2814458814 0.27536295
0.2912149429 -0.1420000046 -0.1280000061 0.4160000086 3.0352139473 -0.3394260108 5.848721981 0.5829807245 1.1253026209 1.8988205331 -0.0683195386 -0.2844533135 0.2873437087
0.3374679089 -0.2099999934 0.2119999975 -0.0520000011 2.7919259071 -0.4983479977 5.9291639328 0.5975204524 1.12718905 1.8686842712 -0.0743513204 -0.2764124784 0.2855841222
0.3762419224 -0.2419999987 0.0379999988 0.0020000001 2.4211080074 -0.7279019952 6.1194777489 0.6103086771 1.128151406 1.8387578255 -0.0843477025 -0.2727499835 0.2823064805
0.4164409637 -0.2280000001 -0.0199999996 -0.200000003 2.0502901077 -0.6886620522 6.3588418961 0.6235067454 1.1286839369 1.8039709669 -0.0920554012 -0.2759712216 0.2681968668
0.4552381039 -0.4199999869 -0.1940000057 -0.2160000056 2.1876299381 -0.4669560194 6.8081402779 0.6368888141 1.129153167 1.7650188583 -0.1085292044 -0.2814713669 0.2634845878
